2025-12-15 14:16:20,951 | INFO | etl.run_14 | ETL Run 14 started (full mode)
2025-12-15 14:16:20,951 | INFO | etl_orchestrator | ETL Run 14 started (full mode)
2025-12-15 14:16:20,951 | INFO | etl_orchestrator | Starting extract phase (full mode), batch_size=5000
2025-12-15 14:16:20,951 | INFO | etl.run_14 | Starting extract phase (full mode)
2025-12-15 14:16:21,040 | INFO | reporting.etl.extract | Full extract from transaction_db.user: 10 rows in 0.02s
2025-12-15 14:16:21,055 | INFO | reporting.etl.extract | Full extract from transaction_db.loan: 27 rows in 0.01s
2025-12-15 14:16:21,074 | INFO | reporting.etl.extract | Full extract from transaction_db.loan_application: 27 rows in 0.02s
2025-12-15 14:16:21,093 | INFO | reporting.etl.extract | Full extract from transaction_db.transaction_ledger: 5 rows in 0.02s
2025-12-15 14:16:21,114 | INFO | reporting.etl.extract | Full extract from transaction_db.repayment_schedule: 40 rows in 0.02s
2025-12-15 14:16:21,157 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.user to 2025-10-30 16:20:16
2025-12-15 14:16:21,432 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.loan to 2025-12-03 02:02:08
2025-12-15 14:16:21,479 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.loan_application to 2025-11-11 04:54:30
2025-12-15 14:16:21,749 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.transaction_ledger to 2024-03-16 10:00:00
2025-12-15 14:16:21,764 | WARNING | reporting.etl.extract | Could not update watermark for transaction_db.repayment_schedule: (1054, "Unknown column 'updated_at' in 'field list'")
2025-12-15 14:16:21,778 | INFO | reporting.etl.extract | Full extract from reference_db.ref_currency: 8 rows in 0.01s
2025-12-15 14:16:21,792 | INFO | reporting.etl.extract | Full extract from reference_db.ref_loan_product: 10 rows in 0.01s
2025-12-15 14:16:22,080 | INFO | reporting.etl.extract | Full extract from reference_db.ref_region: 14 rows in 0.29s
2025-12-15 14:16:22,094 | INFO | reporting.etl.extract | Full extract from reference_db.ref_credit_tier: 5 rows in 0.01s
2025-12-15 14:16:22,137 | INFO | reporting.etl.extract | Extract complete: 173 total rows from 12 sources
2025-12-15 14:16:23,403 | INFO | etl_orchestrator | Extract complete: 173 rows in 2.45s
2025-12-15 14:16:23,403 | INFO | etl_orchestrator | Starting transform phase
2025-12-15 14:16:23,403 | INFO | reporting.etl.transform | Loaded 7 FX rates for enrichment
2025-12-15 14:16:23,403 | INFO | reporting.etl.transform | Loaded 8 interest benchmarks
2025-12-15 14:16:23,403 | INFO | reporting.etl.transform | Loaded 12 credit spreads
2025-12-15 14:16:23,403 | INFO | reporting.etl.transform | Loaded 10 product definitions
2025-12-15 14:16:23,403 | INFO | reporting.etl.transform | Loaded 8 currencies
2025-12-15 14:16:23,403 | INFO | reporting.etl.transform | Loaded 5 credit tiers
2025-12-15 14:16:23,403 | INFO | reporting.etl.transform | Loaded 14 regions
2025-12-15 14:16:23,403 | INFO | reporting.etl.transform | Loaded 8 valid loan statuses
2025-12-15 14:16:23,403 | INFO | reporting.etl.transform | Loaded 3 valid user roles
2025-12-15 14:16:23,404 | INFO | reporting.etl.transform | Transformed 10 users, rejected 0
2025-12-15 14:16:23,404 | INFO | reporting.etl.transform | Transformed 27 loans, rejected 0
2025-12-15 14:16:23,404 | INFO | reporting.etl.transform | Transform complete: 48 rows, 0 rejected, 0 validation errors
2025-12-15 14:16:23,805 | INFO | etl_orchestrator | Transform complete: 48 rows in 0.40s
2025-12-15 14:16:23,805 | INFO | etl_orchestrator | Starting load phase
2025-12-15 14:16:23,913 | INFO | reporting.etl.load | Starting load phase
2025-12-15 14:16:23,913 | INFO | reporting.etl.load | Batch size: 5000, Run ID: 14
2025-12-15 14:16:23,946 | INFO | reporting.etl.load | dim_user: 10 rows in 0.033s (303.4 rows/sec)
2025-12-15 14:16:23,980 | INFO | reporting.etl.load | dim_loan_product: 10 rows in 0.033s (300.7 rows/sec)
2025-12-15 14:16:24,057 | INFO | reporting.etl.load | Bulk staged 27 loans in 0.078s (347.9 rows/sec)
2025-12-15 14:16:24,182 | ERROR | etl_orchestrator | ETL Run failed: not enough values to unpack (expected 3, got 2)
