2025-12-15 14:15:13,709 | INFO | etl.run_11 | ETL Run 11 started (full mode)
2025-12-15 14:15:13,709 | INFO | etl_orchestrator | ETL Run 11 started (full mode)
2025-12-15 14:15:13,709 | INFO | etl_orchestrator | Starting extract phase (full mode), batch_size=5000
2025-12-15 14:15:13,709 | INFO | etl.run_11 | Starting extract phase (full mode)
2025-12-15 14:15:13,795 | INFO | reporting.etl.extract | Full extract from transaction_db.user: 10 rows in 0.02s
2025-12-15 14:15:13,811 | INFO | reporting.etl.extract | Full extract from transaction_db.loan: 27 rows in 0.02s
2025-12-15 14:15:13,836 | INFO | reporting.etl.extract | Full extract from transaction_db.loan_application: 27 rows in 0.03s
2025-12-15 14:15:13,857 | INFO | reporting.etl.extract | Full extract from transaction_db.transaction_ledger: 5 rows in 0.02s
2025-12-15 14:15:13,877 | INFO | reporting.etl.extract | Full extract from transaction_db.repayment_schedule: 40 rows in 0.02s
2025-12-15 14:15:13,931 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.user to 2025-10-30 16:20:16
2025-12-15 14:15:13,978 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.loan to 2025-12-03 02:02:08
2025-12-15 14:15:14,022 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.loan_application to 2025-11-11 04:54:30
2025-12-15 14:15:14,069 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.transaction_ledger to 2024-03-16 10:00:00
2025-12-15 14:15:14,082 | WARNING | reporting.etl.extract | Could not update watermark for transaction_db.repayment_schedule: (1054, "Unknown column 'updated_at' in 'field list'")
2025-12-15 14:15:14,102 | INFO | reporting.etl.extract | Full extract from reference_db.ref_currency: 8 rows in 0.02s
2025-12-15 14:15:14,116 | INFO | reporting.etl.extract | Full extract from reference_db.ref_loan_product: 10 rows in 0.01s
2025-12-15 14:15:14,131 | INFO | reporting.etl.extract | Full extract from reference_db.ref_region: 14 rows in 0.02s
2025-12-15 14:15:14,147 | INFO | reporting.etl.extract | Full extract from reference_db.ref_credit_tier: 5 rows in 0.02s
2025-12-15 14:15:14,204 | INFO | reporting.etl.extract | Extract complete: 173 total rows from 12 sources
2025-12-15 14:15:15,467 | INFO | etl_orchestrator | Extract complete: 173 rows in 1.76s
2025-12-15 14:15:15,467 | INFO | etl_orchestrator | Starting transform phase
2025-12-15 14:15:15,467 | INFO | reporting.etl.transform | Loaded 7 FX rates for enrichment
2025-12-15 14:15:15,467 | INFO | reporting.etl.transform | Loaded 8 interest benchmarks
2025-12-15 14:15:15,468 | INFO | reporting.etl.transform | Loaded 12 credit spreads
2025-12-15 14:15:15,468 | INFO | reporting.etl.transform | Loaded 10 product definitions
2025-12-15 14:15:15,468 | INFO | reporting.etl.transform | Loaded 8 currencies
2025-12-15 14:15:15,468 | INFO | reporting.etl.transform | Loaded 5 credit tiers
2025-12-15 14:15:15,468 | INFO | reporting.etl.transform | Loaded 14 regions
2025-12-15 14:15:15,468 | INFO | reporting.etl.transform | Loaded 8 valid loan statuses
2025-12-15 14:15:15,468 | INFO | reporting.etl.transform | Loaded 3 valid user roles
2025-12-15 14:15:15,468 | INFO | reporting.etl.transform | Transformed 10 users, rejected 0
2025-12-15 14:15:15,469 | INFO | reporting.etl.transform | Transformed 27 loans, rejected 0
2025-12-15 14:15:15,469 | INFO | reporting.etl.transform | Transform complete: 48 rows, 0 rejected, 0 validation errors
2025-12-15 14:15:15,880 | INFO | etl_orchestrator | Transform complete: 48 rows in 0.41s
2025-12-15 14:15:15,880 | INFO | etl_orchestrator | Starting load phase
2025-12-15 14:15:15,990 | INFO | reporting.etl.load | Starting load phase
2025-12-15 14:15:15,990 | INFO | reporting.etl.load | Batch size: 5000, Run ID: 11
2025-12-15 14:15:16,033 | INFO | reporting.etl.load | dim_user: 10 rows in 0.042s (237.7 rows/sec)
2025-12-15 14:15:16,065 | INFO | reporting.etl.load | dim_loan_product: 10 rows in 0.032s (314.0 rows/sec)
2025-12-15 14:15:16,206 | ERROR | etl_orchestrator | ETL Run failed: (1146, "Table 'microlending.etl_staging_loan' doesn't exist")
