2025-12-05 17:26:58,284 | INFO | etl_orchestrator | ETL Run 5 started (full mode)
2025-12-05 17:26:58,284 | INFO | etl_orchestrator | Starting extract phase (full mode)
2025-12-05 17:26:58,419 | INFO | reporting.etl.extract | Full extract from user: 10 rows in 0.03s
2025-12-05 17:26:58,442 | INFO | reporting.etl.extract | Full extract from loan: 27 rows in 0.02s
2025-12-05 17:26:58,463 | INFO | reporting.etl.extract | Full extract from loan_application: 27 rows in 0.02s
2025-12-05 17:26:58,488 | INFO | reporting.etl.extract | Full extract from transaction_ledger: 5 rows in 0.02s
2025-12-05 17:26:58,521 | INFO | reporting.etl.extract | Full extract from repayment_schedule: 25 rows in 0.03s
2025-12-05 17:26:58,572 | INFO | reporting.etl.extract | Full extract from ref_currency: 8 rows in 0.05s
2025-12-05 17:26:58,616 | INFO | reporting.etl.extract | Full extract from ref_loan_product: 10 rows in 0.04s
2025-12-05 17:26:58,661 | INFO | reporting.etl.extract | Full extract from ref_region: 14 rows in 0.04s
2025-12-05 17:26:58,699 | INFO | reporting.etl.extract | Full extract from ref_credit_tier: 5 rows in 0.03s
2025-12-05 17:26:58,773 | INFO | reporting.etl.extract | Extract complete: 158 total rows from 12 sources
2025-12-05 17:27:00,996 | INFO | etl_orchestrator | Extract complete: 158 rows in 2.71s
2025-12-05 17:27:00,997 | INFO | etl_orchestrator | Starting transform phase
2025-12-05 17:27:00,998 | INFO | reporting.etl.transform | Transformed 10 users, rejected 0
2025-12-05 17:27:00,999 | INFO | reporting.etl.transform | Transformed 27 loans, rejected 0
2025-12-05 17:27:01,000 | INFO | reporting.etl.transform | Transform complete: 48 rows, 0 rejected
2025-12-05 17:27:01,706 | INFO | etl_orchestrator | Transform complete: 48 rows in 0.71s
2025-12-05 17:27:01,706 | INFO | etl_orchestrator | Starting load phase
2025-12-05 17:27:01,811 | INFO | reporting.etl.load | Starting load phase using stored procedures
2025-12-05 17:27:01,811 | INFO | reporting.etl.load | Loading dim_user...
2025-12-05 17:27:01,964 | ERROR | etl_orchestrator | ETL Run failed: 'TransformResult' object has no attribute 'data'
